Whisky,Age,MetaCritic,StDev,Num_of_Critics,Cost,Class,SuperCluster,Cluster,Country,Type
Cragganmore 25yo,25,9.02,0.05,4,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 2.x 1989,0,9.01,0.16,8,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Amrut Double Cask,0,9,0.19,9,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Macallan Edition No. 4,0,9,0.37,8,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Reserve Single Cask (various casks),0,9,0.5,7,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Aultmore 25yo,25,8.97,0.21,5,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Amrut Virgin Oak Single Cask,0,8.96,0.17,4,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Compass Box 3yo Deluxe,3,8.96,0.23,9,>$300 CAD,SingleMalt-like,EF,F,Scotland,Malt
Old Pulteney 15yo,15,8.96,0.21,4,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 25yo,25,8.95,0.18,6,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Yamazaki Mizunara,0,8.94,0.21,8,>$300 CAD,SingleMalt-like,EF,E,Japan,Malt
Craigellachie 23yo,23,8.93,0.22,10,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt 18yo,18,8.92,0.12,16,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Kavalan ex-Bourbon Oak,0,8.92,0.23,6,$70-125 CAD,SingleMalt-like,EF,E,Taiwan,Malt
Tomatin Decades,0,8.92,0.52,9,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 5.x 1992,0,8.91,0.35,7,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan Edition No. 2,0,8.91,0.21,16,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Caol Ila 18yo Unpeated 2017,18,8.9,0.31,12,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Nadurra First Fill (White Oak),0,8.9,0.23,5,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Yamazaki Limited Edition 2016,0,8.9,0.25,3,>$300 CAD,SingleMalt-like,EF,E,Japan,Malt
Amrut Herald,0,8.89,0.15,6,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Amrut Fusion,0,8.88,0.27,25,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Glen Grant 25yo,25,8.88,0.18,3,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenmorangie Ealanta,0,8.88,0.28,16,>$300 CAD,SingleMalt-like,EF,F,Scotland,Malt
Box (High Coast) The 2nd Step Collection 02,0,8.86,0.14,8,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Glenmorangie Astar,0,8.86,0.25,17,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Bourbon Single Cask,0,8.85,0.24,10,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Kavalan Solist Ex-Bourbon,0,8.85,0.22,20,$125-300 CAD,SingleMalt-like,EF,E,Taiwan,Malt
Kininvie 17yo (all batches),17,8.85,0.3,9,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan Edition No. 3,0,8.85,0.17,10,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt 17yo,17,8.84,0.24,11,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt The Devil‰Ûªs Punch Bowl (all chapters),0,8.84,0.28,10,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment GlÌ¦d,0,8.83,0.43,4,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Glenlivet 21yo Archive (all batches),21,8.82,0.28,13,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Nikka From the Barrel,0,8.82,0.36,24,$50-70 CAD,SingleMalt-like,EF,F,Japan,Blend
Compass Box Spice Tree Extravaganza,0,8.81,0.27,10,$125-300 CAD,SingleMalt-like,EF,F,Scotland,Malt
Midleton Very Rare (all vintages),0,8.81,0.44,12,$125-300 CAD,SingleMalt-like,EF,E,Ireland,Blend
Auchentoshan 21yo,21,8.8,0.26,12,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Urberg,0,8.8,0.25,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Paul John Single Cask,0,8.8,0.44,6,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Amrut Two Continents,0,8.79,0.44,15,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Bruichladdich 21yo CuvÌ©e 640 Eroica,21,8.79,0.42,10,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Project XX Experimental Series No. 2,0,8.79,0.22,10,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan Edition No. 1,0,8.79,0.47,10,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Aberfeldy 21yo,21,8.78,0.19,10,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 25yo,25,8.78,0.43,15,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Compass Box Spice Tree,0,8.78,0.32,24,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Cragganmore NAS (Special Release 2016),0,8.78,0.62,5,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Nikka Taketsuru 17yo,17,8.78,0.26,15,$125-300 CAD,SingleMalt-like,EF,E,Japan,Malt
Strathmill 25yo,25,8.78,0.42,4,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Tokaji Aszu Wine Finish,0,8.77,0.36,4,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Glen Grant Five Decades,0,8.77,0.23,6,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Winter Storm 21yo Experimental Series No. 3,21,8.77,0.37,9,>$300 CAD,SingleMalt-like,EF,F,Scotland,Malt
Midleton Very Rare 2016,0,8.77,0.39,3,$125-300 CAD,SingleMalt-like,EF,E,Ireland,Blend
Mortlach Special Strength,0,8.77,0.59,6,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 17yo,17,8.77,0.24,20,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Clynelish 14yo,14,8.76,0.26,18,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Hakushu 18yo,18,8.76,0.28,9,$125-300 CAD,SingleMalt-like,EF,F,Japan,Malt
Hibiki 17yo,17,8.76,0.32,17,$125-300 CAD,SingleMalt-like,EF,E,Japan,Blend
Mackmyra Moment Rimfrost,0,8.75,0.36,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Nikka Coffey Malt,0,8.75,0.4,13,$70-125 CAD,SingleMalt-like,EF,E,Japan,Malt
Glenfiddich Cask of Dreams,0,8.74,0.21,8,$125-300 CAD,SingleMalt-like,EF,F,Scotland,Malt
Mackmyra Special 04,0,8.74,0.36,8,$70-125 CAD,SingleMalt-like,EF,E,Sweden,Malt
Redbreast 15yo,15,8.74,0.25,17,$70-125 CAD,SingleMalt-like,EF,E,Ireland,Malt
Amrut Bourbon Single Cask,0,8.73,0.33,13,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Redbreast 12yo,12,8.73,0.41,23,$50-70 CAD,SingleMalt-like,EF,E,Ireland,Malt
Arran Malt Napoleon Cognac Finish,0,8.72,0.68,5,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 19yo Age of Discovery (Bourbon Cask),19,8.71,0.26,10,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Box (High Coast) The Festival 2016,0,8.7,0.04,3,$125-300 CAD,SingleMalt-like,EF,F,Sweden,Malt
Bruichladdich 21yo CuvÌ©e 382 La Berenice,21,8.7,0.57,8,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenmorangie 18yo,18,8.7,0.28,18,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 15yo Distillery Edition,15,8.69,0.29,15,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mortlach 18yo,18,8.69,0.61,10,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 03,0,8.68,0.29,7,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Storas 21yo Rare Cask Reserves Blended,21,8.68,0.13,4,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Blend
AnCnoc 18yo,18,8.67,0.33,10,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan 18yo Fine Oak,18,8.67,0.21,7,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Balvenie 12yo Single Barrel,12,8.66,0.34,13,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Balvenie 25yo Single Barrel,25,8.65,0.93,3,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bunnahabhain 12yo,12,8.65,0.26,25,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Glen Garioch 12yo,12,8.65,0.3,17,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Ichiro's Malt Double Distilleries,0,8.65,0.24,8,$125-300 CAD,SingleMalt-like,EF,E,Japan,Malt
Westland Single Cask,0,8.65,0.1,4,$70-125 CAD,SingleMalt-like,EF,E,USA,Malt
Balcones Texas Single Malt Whisky,0,8.63,0.3,16,$70-125 CAD,SingleMalt-like,EF,E,USA,Malt
Kilkerran Work in Progress Sherry Wood,0,8.63,0.4,12,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 4.x 1990,0,8.62,0.6,12,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage 1995 (all bottlings),0,8.62,0.3,17,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet Cipher,0,8.61,0.33,7,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Special 09,0,8.61,0.22,4,$70-125 CAD,SingleMalt-like,EF,E,Sweden,Malt
Paul John Classic Select Cask,0,8.61,0.37,7,$70-125 CAD,SingleMalt-like,EF,E,India,Malt
Caol Ila 17yo Unpeated 2015,17,8.6,0.46,11,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Sullivans Cove American Oak,0,8.6,0.37,7,$125-300 CAD,SingleMalt-like,EF,E,Tasmania,Malt
Compass Box Oak Cross,0,8.59,0.38,15,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Copperworks American Single Malt,0,8.59,0.21,5,$50-70 CAD,SingleMalt-like,EF,E,USA,Malt
Glenfiddich 18yo,18,8.59,0.34,22,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 18yo,18,8.58,0.22,24,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Craigellachie 17yo,17,8.56,0.19,11,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Deanston 18yo (Bourbon Finish),18,8.56,0.47,7,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 14yo Rich Oak,14,8.56,0.33,11,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Royal Brackla 16yo,16,8.56,0.29,11,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glengoyne 17yo,17,8.55,0.27,14,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Midleton Very Rare 2015,0,8.55,0.41,5,$125-300 CAD,SingleMalt-like,EF,E,Ireland,Blend
Teerenpeli Distiller's Choice KASKI,0,8.55,0.25,3,$70-125 CAD,SingleMalt-like,EF,E,Finland,Malt
Sullivans Cove Port Cask Strength,0,8.54,0.63,8,$125-300 CAD,SingleMalt-like,EF,E,Tasmania,Malt
Tyrconnell 10yo Madeira Cask Finish,10,8.54,0.34,12,$70-125 CAD,SingleMalt-like,EF,E,Ireland,Malt
Mackmyra Moment Jord,0,8.53,0.65,3,$70-125 CAD,SingleMalt-like,EF,E,Sweden,Malt
Nikka Pure Malt Red,0,8.53,0.31,10,$50-70 CAD,SingleMalt-like,EF,E,Japan,Malt
Sullivans Cove Bourbon Cask Strength,0,8.53,0.74,6,$70-125 CAD,SingleMalt-like,EF,F,Tasmania,Malt
Teerenpeli Distiller‰Ûªs Choice RASI,0,8.53,0.37,3,$70-125 CAD,SingleMalt-like,EF,E,Finland,Malt
Yamazaki Distiller's Reserve,0,8.53,0.29,8,$70-125 CAD,SingleMalt-like,EF,E,Japan,Malt
Arran Malt Sauternes Finish,0,8.52,0.3,14,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Box (High Coast) The Messenger,0,8.52,0.42,4,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Balvenie 14yo Carribean Cask,14,8.51,0.32,21,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Kininvie 23yo (all batches),23,8.51,0.37,9,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glendullan 15yo,15,8.51,0.38,4,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Westland American Single Malt,0,8.51,0.33,15,$70-125 CAD,SingleMalt-like,EF,E,USA,Malt
Glen Grant 16yo,16,8.5,0.3,7,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Green Spot,0,8.5,0.35,19,$70-125 CAD,SingleMalt-like,EF,F,Ireland,Malt
Macallan 21yo Fine Oak,21,8.5,0.4,6,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney 18yo,18,8.5,0.63,3,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Paul John Brilliance,0,8.5,0.36,11,$50-70 CAD,SingleMalt-like,EF,E,India,Malt
Mackmyra Special 05,0,8.48,0.38,7,$70-125 CAD,SingleMalt-like,EF,E,Sweden,Malt
Glen Grant 18yo,18,8.47,0.68,8,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment Solsken,0,8.47,0.52,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Singleton of Glen Ord 15yo,15,8.47,0.4,5,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment KÌ_lla,0,8.46,0.3,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Auchentoshan Bartender's Malt,0,8.45,0.48,8,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage Reserve (NAS),0,8.45,0.23,7,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
GlenDronach 8yo The Hielan,8,8.44,0.31,11,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich IPA Cask Finish Experimental Series No. 1,0,8.44,0.27,15,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan 15yo Fine Oak,15,8.44,0.51,12,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mortlach Rare Old,0,8.44,0.38,16,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Nikka All Malt,0,8.44,0.18,8,$30-50 CAD,SingleMalt-like,EF,E,Japan,Malt
Old Pulteney 12yo,12,8.44,0.25,26,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Benromach Organic,0,8.43,0.54,16,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mackmyra Moment MalstrÌ¦m (Maelstrom),0,8.43,0.75,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Tullibardine 25yo,25,8.43,0.37,7,>$300 CAD,SingleMalt-like,EF,E,Ireland,Malt
Bunnahabhain Stiuireadair,0,8.42,0.34,6,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Dalmore 12yo,12,8.42,0.28,20,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glen Elgin 12yo,12,8.42,0.21,16,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bunnahabhain Eirigh Na Greine,0,8.41,0.44,10,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Deveron 18yo,18,8.41,0.55,7,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan 12yo Double Cask,12,8.41,0.4,11,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bushmills 12yo Single Malt,12,8.4,0.16,3,$125-300 CAD,SingleMalt-like,EF,E,Ireland,Malt
Mackmyra Special 08,0,8.4,0.27,4,$70-125 CAD,SingleMalt-like,EF,E,Sweden,Malt
Mackmyra Special 10,0,8.4,0.5,3,$70-125 CAD,SingleMalt-like,EF,E,Sweden,Malt
Nikka Taketsuru 12yo,12,8.4,0.37,19,$70-125 CAD,SingleMalt-like,EF,E,Japan,Malt
Teerenpeli 8yo,8,8.4,0.39,7,$125-300 CAD,SingleMalt-like,EF,E,Finland,Malt
Bunnahabhain Darach Ur,0,8.39,0.31,10,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Tomatin 15yo,15,8.39,0.38,7,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 15yo French Oak,15,8.38,0.25,19,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Okanagan Spirits Laird of Fintry (all editions),0,8.38,0.72,8,$50-70 CAD,SingleMalt-like,EF,E,Canada,Malt
Auchentoshan 18yo,18,8.37,0.37,16,$125-300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Craigellachie 14yo,14,8.37,0.28,6,>$300 CAD,SingleMalt-like,EF,F,Scotland,Malt
BenRiach 12yo Horizons,12,8.35,0.32,7,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Old Pulteney Navigator,0,8.34,0.36,13,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown 18yo,18,8.34,0.13,6,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Knappogue Castle 14yo Twin Wood,14,8.33,0.27,5,$70-125 CAD,SingleMalt-like,EF,E,Ireland,Malt
Tullibardine 225 Sauternes Finish,0,8.33,0.39,6,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Cragganmore 12yo,12,8.32,0.29,19,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage 1998 (2014),0,8.32,0.59,12,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Singleton of Dufftown 15yo,15,8.32,0.19,7,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Deveron 12yo,12,8.3,0.28,7,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Monkey Shoulder,0,8.3,0.38,19,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Teeling Small Batch (Rum Cask Finish),0,8.3,0.39,23,$30-50 CAD,SingleMalt-like,EF,E,Ireland,Blend
Glencadam Origin 1825 (NAS),0,8.29,0.12,4,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Ohishi Brandy Cask,0,8.29,0.18,3,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Sullivans Cove Double Cask,0,8.29,0.49,14,$70-125 CAD,SingleMalt-like,EF,E,Tasmania,Malt
Wemyss Malts Smooth Gentleman,0,8.29,0.11,3,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich 14yo Bourbon Barrel Reserve,14,8.28,0.3,11,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Macallan Amber,0,8.28,0.36,13,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Scapa 16yo,16,8.28,0.29,16,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord 12yo,12,8.28,0.28,6,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan 12yo,12,8.27,0.26,23,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 1989,0,8.25,0.38,4,>$300 CAD,SingleMalt-like,EF,E,Scotland,Malt
Gouden Carolus Single Malt,0,8.25,0.37,5,$70-125 CAD,SingleMalt-like,EF,E,Belgium,Malt
Macallan 10yo Fine Oak,10,8.25,0.3,19,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Stalk & Barrel Single Malt (All Casks),0,8.25,0.42,13,$50-70 CAD,SingleMalt-like,EF,F,Canada,Malt
Glenrothes Elders' Reserve,0,8.24,0.71,7,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Tobermory 10yo,10,8.24,0.41,23,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Mackmyra Moment Jakt,0,8.23,0.57,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Royal Brackla 12yo,12,8.23,0.47,12,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Deanston 12yo,12,8.22,0.46,19,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Edradour 10yo,10,8.22,0.69,17,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glen Breton 21yo,21,8.22,0.38,3,$125-300 CAD,SingleMalt-like,EF,E,Canada,Malt
Scallywag,0,8.22,0.55,14,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Sherry Classic,0,8.21,0.89,6,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Strathisla 12yo,12,8.21,0.31,14,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Tomintoul 12yo Oloroso Sherry,12,8.19,0.56,11,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenfiddich Select Cask,0,8.18,0.39,10,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 1993 Sauternes,0,8.17,0.33,5,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenrothes Vintage 2001 (all bottlings),0,8.16,0.62,9,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Robert Burns Single Malt,0,8.15,0.56,9,$30-50 CAD,SingleMalt-like,EF,F,Scotland,Malt
Aberfeldy 12yo,12,8.14,0.33,20,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Auchroisk 10yo (F&F),10,8.14,0.09,4,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glen Moray 10yo Chardonnay Cask,10,8.1,0.54,14,$30-50 CAD,SingleMalt-like,EF,F,Scotland,Malt
BenRiach 15yo Sauternes Finish,15,8.09,0.51,3,$70-125 CAD,SingleMalt-like,EF,F,Scotland,Malt
Glen Garioch Virgin Oak,0,8.08,0.5,6,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glenlivet 12yo,12,8.08,0.29,22,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Dufftown UnitÌ©,0,8.08,0.29,4,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Miltonduff 10yo (F&F),10,8.07,0.41,4,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Tullibardine 228 Burgundy Finish,0,8.06,0.32,5,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Tomatin 12yo,12,8.05,0.45,20,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Dalmore Valour,0,8.04,0.34,11,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Nikka Super,0,8.04,0.42,8,$50-70 CAD,SingleMalt-like,EF,E,Japan,Malt
Singleton of Glendullan 12yo,12,8.04,0.42,14,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Tullamore Dew 10yo Single Malt,10,8.02,0.79,6,$50-70 CAD,SingleMalt-like,EF,E,Ireland,Malt
Glenburgie 10yo (Gordon & MacPhail),10,8.01,0.37,7,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
The Irishman Single Malt (NAS),0,7.99,0.28,6,$50-70 CAD,SingleMalt-like,EF,E,Ireland,Malt
Glenlivet Founder's Reserve,0,7.97,0.35,18,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glen Deveron 10yo (Macduff),10,7.96,0.37,5,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Millstone 8yo French Oak,8,7.95,0.63,4,$70-125 CAD,SingleMalt-like,EF,E,Netherlands,Malt
Scapa Skiren,0,7.94,0.57,12,$70-125 CAD,SingleMalt-like,EF,E,Scotland,Malt
Santis Edition Sigel,0,7.93,0.74,8,$50-70 CAD,SingleMalt-like,EF,E,Switzerland,Malt
Singleton of Dufftown 12yo,12,7.91,0.47,11,$30-50 CAD,SingleMalt-like,EF,E,Scotland,Malt
Singleton of Glen Ord Signature,0,7.9,0.3,3,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Glen Moray 12yo Chenin Blanc,12,7.86,0.76,6,$30-50 CAD,SingleMalt-like,EF,F,Scotland,Malt
Penderyn Legend,0,7.85,0.75,9,$50-70 CAD,SingleMalt-like,EF,F,Wales,Malt
Glenrothes Select Reserve,0,7.77,0.38,14,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Penderyn Aur Cymru,0,7.72,0.6,8,$70-125 CAD,SingleMalt-like,EF,E,Wales,Malt
Speyside 10yo,10,7.71,0.62,4,$50-70 CAD,SingleMalt-like,EF,E,Scotland,Malt
Mars Iwai Tradition,0,7.67,0.94,5,$70-125 CAD,SingleMalt-like,EF,E,Japan,Blend
Mackmyra Special 01,0,7.6,0.44,3,$125-300 CAD,SingleMalt-like,EF,E,Sweden,Malt
Glen Moray 16yo Chenin Blanc,16,7.58,0.57,4,$50-70 CAD,SingleMalt-like,EF,F,Scotland,Malt
Santis Edition SÌ_ntis,0,7.54,0.82,7,$70-125 CAD,SingleMalt-like,EF,F,Switzerland,Malt
McClelland's Speyside Single Malt,0,6.94,0.82,7,$30-50 CAD,SingleMalt-like,EF,F,Scotland,Malt
Kavalan Solist Moscatel Cask,0,9.21,0.17,6,>$300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Midleton Barry Crockett Legacy,0,9.12,0.23,10,$125-300 CAD,SingleMalt-like,GH,G,Ireland,Blend
Highland Park 17yo The Light,17,9.05,0.23,6,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Yamazaki Limited Edition 2015,0,8.97,0.09,3,>$300 CAD,SingleMalt-like,GH,G,Japan,Malt
Kirin 18yo (Fuji Sanroku),18,8.96,0.46,4,>$300 CAD,SingleMalt-like,GH,G,Japan,Malt
Mackmyra Iskristall,0,8.91,0.26,3,$125-300 CAD,SingleMalt-like,GH,G,Sweden,Malt
Box (High Coast) The 2nd Step Collection 03,0,8.9,0.4,3,$125-300 CAD,SingleMalt-like,GH,G,Sweden,Malt
Teeling Silver Reserve 21yo Sauternes Finish,21,8.9,0.34,10,$125-300 CAD,SingleMalt-like,GH,H,Ireland,Malt
Bruichladdich Laddie Twenty Two 22yo,22,8.88,0.26,11,$125-300 CAD,SingleMalt-like,GH,G,Scotland,Malt
Mackinlay's Shackleton Rare Old Highland Malt Discovery edition,0,8.87,0.4,16,$125-300 CAD,SingleMalt-like,GH,H,Scotland,Malt
Mackmyra Vinterdrom,0,8.87,0.06,3,$125-300 CAD,SingleMalt-like,GH,G,Sweden,Malt
Bruichladdich Laddie Ten 10yo (Second Edition),10,8.86,0.24,10,$50-70 CAD,SingleMalt-like,GH,G,Scotland,Malt
Kilkerran 12yo,12,8.86,0.22,16,$70-125 CAD,SingleMalt-like,GH,G,Scotland,Malt
